customer_id,gender,age,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST_00001,Male,22,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.98, ,No
CUST_00002,Female,28,0,Yes,No,21,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.66, ,Yes
CUST_00003,Female,50,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,65.76, ,Yes
CUST_00004,Female,27,0,No,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.67, ,Yes
CUST_00005,Male,61,0,No,No,24,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,37.9, ,No
CUST_00006,Male,43,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),40.8, ,Yes
CUST_00007,Male,46,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.97, ,Yes
CUST_00008,Female,40,0,No,No,41,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,21.04, ,No
CUST_00009,Female,56,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0, ,Yes
CUST_00010,Female,56,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,60.88, ,No
CUST_00011,Male,50,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,43.64, ,Yes
CUST_00012,Female,53,0,Yes,No,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,41.41, ,Yes
CUST_00013,Female,41,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),75.65, ,No
CUST_00014,Male,53,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,61.27, ,No
CUST_00015,Male,39,0,No,No,64,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,44.8, ,Yes
CUST_00016,Male,45,0,No,No,24,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.2, ,Yes
CUST_00017,Male,40,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),54.57, ,No
CUST_00018,Female,38,0,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.67, ,Yes
CUST_00019,Male,34,1,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,69.48, ,Yes
CUST_00020,Male,52,0,No,Yes,52,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.71, ,Yes
